GMDNR;GMDNAME;BZNR;KTNR;GRNR;AREA_HA;E_MIN;E_MAX;N_MIN;N_MAX;E_CNTR;N_CNTR;Z_MIN;Z_MAX;Z_AVG;Z_MED;Z_CNTR;X_MIN;X_MAX;Y_MIN;Y_MAX;X_CNTR;Y_CNTR
7001;Vaduz;7000;70;0;1728;2755929;2764959;1217392;1229073;2758300;1223800;437;2150;992;750;626;755929;764959;217392;229073;758300;223800
7002;Triesen;7000;70;0;2646;2757484;2764441;1212998;1221351;2760600;1216700;456;2601;1320;1436;1685;757484;764441;212998;221351;760600;216700
7003;Balzers;7000;70;0;1972;2754427;2766627;1212924;1225977;2756900;1214900;466;2226;1121;1117;472;754427;766627;212924;225977;756900;214900
7004;Triesenberg;7000;70;0;2972;2758679;2766780;1216425;1226130;2761000;1221700;650;2365;1495;1500;1517;758679;766780;216425;226130;761000;221700
7005;Schaan;7000;70;0;2695;2755160;2765885;1214468;1229080;2756600;1226600;438;2569;1106;948;447;755160;765885;214468;229080;756600;226600
7006;Planken;7000;70;0;536;2758045;2763196;1225011;1228944;2760600;1227800;439;2122;1297;1310;1104;758045;763196;225011;228944;760600;227800
7007;Eschen;7000;70;0;1039;2755289;2762177;1228240;1233043;2759300;1229700;436;1659;545;447;445;755289;762177;228240;233043;759300;229700
7008;Mauren;7000;70;0;747;2758362;2762591;1229346;1233341;2760400;1231600;438;1599;611;474;439;758362;762591;229346;233341;760400;231600
7009;Gamprin;7000;70;0;617;2755614;2761142;1228411;1233476;2756400;1231000;433;1321;536;454;462;755614;761142;228411;233476;756400;231000
7010;Ruggell;7000;70;0;739;2756867;2760430;1232638;1237629;2758600;1235100;426;613;443;432;431;756867;760430;232638;237629;758600;235100
7011;Schellenberg;7000;70;0;356;2758257;2761160;1232489;1235661;2760400;1234100;429;698;552;576;645;758257;761160;232489;235661;760400;234100
