KTNR;KTNAME;GRNR;AREA_HA;X_MIN;X_MAX;Y_MIN;Y_MAX;X_CNTR;Y_CNTR;Z_MIN;Z_MAX;Z_AVG;Z_MED;E_MIN;E_MAX;N_MIN;N_MAX;E_CNTR;N_CNTR
1;Zürich;4;172894;669245;716900;223896;283343;691800;252000;330;1291;533;505;2669245;2716900;1223896;1283343;2691800;1252000
2;Bern / Berne;2;595952;556241;677745;130585;243835;614200;185600;399;4271;1199;979;2556241;2677745;1130585;1243835;2614200;1185600
3;Luzern;6;149352;630128;681764;180568;237691;651000;213100;399;2347;771;680;2630128;2681764;1180568;1237691;2651000;1213100
4;Uri;6;107654;673345;715796;153451;205339;690800;180700;429;3629;1901;1976;2673345;2715796;1153451;1205339;2690800;1180700
5;Schwyz;6;90788;672167;718719;193657;231067;700100;213100;404;2800;1096;1053;2672167;2718719;1193657;1231067;2700100;1213100
6;Obwalden;6;49058;646045;681479;178345;203582;658700;189900;431;3238;1337;1368;2646045;2681479;1178345;1203582;2658700;1189900
7;Nidwalden;6;27585;659304;686449;180482;208075;673600;197700;432;2896;1072;987;2659304;2686449;1180482;1208075;2673600;1197700
8;Glarus;5;68531;709274;738138;183890;225967;723700;204600;411;3610;1580;1595;2709274;2738138;1183890;1225967;2723700;1204600
9;Zug;6;23873;672419;695750;215061;233506;683300;223500;386;1579;664;638;2672419;2695750;1215061;1233506;2683300;1223500
10;Fribourg / Freiburg;2;167142;546837;595531;143053;206220;573800;173100;422;2389;856;750;2546837;2595531;1143053;1206220;2573800;1173100
11;Solothurn;2;79045;592561;644760;213703;261330;618600;242300;281;1445;617;551;2592561;2644760;1213703;1261330;2618600;1242300
12;Basel-Stadt;3;3695;608733;619191;263185;272279;611300;267500;244;522;294;273;2608733;2619191;1263185;1272279;2611300;1267500
13;Basel-Landschaft;3;51767;591443;639481;243060;268191;628400;253700;245;1168;517;505;2591443;2639481;1243060;1268191;2628400;1253700
14;Schaffhausen;5;29842;672515;707983;267448;295934;684400;286200;343;912;538;514;2672515;2707983;1267448;1295934;2684400;1286200
15;Appenzell Ausserrhoden;5;24284;732375;765346;234615;259712;748800;250200;431;2501;929;907;2732375;2765346;1234615;1259712;2748800;1250200
16;Appenzell Innerrhoden;5;17248;741442;764416;233274;257039;748500;241500;540;2502;1129;1029;2741442;2764416;1233274;1257039;2748500;1241500
17;St. Gallen;5;202820;702742;768769;193269;268609;735700;223400;392;3234;983;808;2702742;2768769;1193269;1268609;2735700;1223400
18;Graubünden / Grigioni / Grischun;5;710530;692838;833858;114569;214817;767500;169500;253;4048;2021;2101;2692838;2833858;1114569;1214817;2767500;1169500
19;Aargau;3;140380;620698;676827;221173;274772;654200;251200;255;908;475;463;2620698;2676827;1221173;1274772;2654200;1251200
20;Thurgau;5;99433;692317;755680;248320;283504;724300;270000;368;991;496;482;2692317;2755680;1248320;1283504;2724300;1270000
21;Ticino;7;281216;672484;732913;75268;165700;705500;128000;193;3400;1391;1419;2672484;2732913;1075268;1165700;2705500;1128000
22;Vaud;1;321201;494306;585462;115149;204076;539300;156800;369;3209;842;685;2494306;2585462;1115149;1204076;2539300;1156800
23;Valais / Wallis;1;522463;548579;679787;78560;167428;612800;117500;371;4632;2136;2221;2548579;2679787;1078560;1167428;2612800;1117500
24;Neuchâtel;2;80216;523392;573336;188830;224027;549900;205100;421;1550;912;1005;2523392;2573336;1188830;1224027;2549900;1205100
25;Genève;1;28249;485410;512974;109645;135578;499000;119100;331;517;419;421;2485410;2512974;1109645;1135578;2499000;1119100
26;Jura;2;83851;554671;609051;222309;261608;578600;244400;364;1293;688;639;2554671;2609051;1222309;1261608;2578600;1244400
