GMDNR;GMDNAME;SEE_HA;X_MIN;X_MAX;Y_MIN;Y_MAX;X_CNTR;Y_CNTR;E_MIN;E_MAX;N_MIN;N_MAX;E_CNTR;N_CNTR
9040;Greifensee;830;691665;695946;241896;247739;693800;245200;2691665;2695946;1241896;1247739;2693800;1245200
9050;Zürichsee;8808;682601;714353;227657;247369;690500;235000;2682601;2714353;1227657;1247369;2690500;1235000
9073;Thunersee;4784;614257;630110;167064;177247;621500;171200;2614257;2630110;1167064;1177247;2621500;1171200
9089;Brienzersee;2977;634122;646789;170863;178693;640600;175000;2634122;2646789;1170863;1178693;2640600;1175000
9148;Bielersee / Lac de Bienne;3970;572052;584660;209652;220433;578500;213800;2572052;2584660;1209652;1220433;2578500;1213800
9151;Lac de Neuchâtel;21829;538531;570489;181795;206804;555600;194800;2538531;2570489;1181795;1206804;2555600;1194800
9157;Baldeggersee;522;660948;663534;225507;229925;662200;227900;2660948;2663534;1225507;1229925;2662200;1227900
9163;Sempachersee;1439;651767;657168;218806;224994;654300;221700;2651767;2657168;1218806;1224994;2654300;1221700
9172;Hallwilersee;1023;657440;660136;233026;241217;658700;237200;2657440;2660136;1233026;1241217;2658700;1237200
9175;Zugersee;3840;676885;682744;212835;226295;681200;215500;2676885;2682744;1212835;1226295;2681200;1215500
9179;Vierwaldstättersee;11384;663950;690388;193693;215056;677100;204000;2663950;2690388;1193693;1215056;2677100;1204000
9216;Sihlsee;1081;700059;704814;215725;223498;702200;220000;2700059;2704814;1215725;1223498;2702200;1220000
9239;Sarnersee;740;657207;661417;188533;193514;659300;190900;2657207;2661417;1188533;1193514;2659300;1190900
9267;Walensee;2417;725905;741408;219384;222315;733600;220500;2725905;2741408;1219384;1222315;2733600;1220500
9270;Aegerisee;728;687238;691412;217452;221450;689500;219600;2687238;2691412;1217452;1221450;2689500;1219600
9276;Lac de la Gruyère/Greyerzersee;856;572489;575712;162473;174243;574100;164200;2572489;2575712;1162473;1174243;2574100;1164200
9294;Murtensee/Lac de Morat;2272;569130;576815;194885;200816;572800;197700;2569130;2576815;1194885;1200816;2572800;1197700
9326;Bodensee;17816;706676;760035;260624;283007;745400;273900;2706676;2760035;1260624;1283007;2745400;1273900
9710;Lago di Lugano;3008;710115;722853;84867;97365;716400;88600;2710115;2722853;1084867;1097365;2716400;1088600
9711;Lago Maggiore;4139;697273;710905;105881;115229;707400;112900;2697273;2710905;1105881;1115229;2707400;1112900
9751;Lac de Joux;879;508262;515222;162400;169126;511700;165800;2508262;2515222;1162400;1169126;2511700;1165800
9757;Lac Léman;34516;500391;560957;117793;152255;530600;148200;2500391;2560957;1117793;1152255;2530600;1148200
9780;Lago di Como;0;0;0;0;0;0;0;0;0;0;0;0;0
